stefan-jaindl.com:443 139.99.61.171 - - [29/Dec/2020:06:33:19 +0100] "GET / HTTP/1.0" 200 456 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
stefan-jaindl.com:443 139.99.61.171 - - [29/Dec/2020:06:33:20 +0100] "GET / HTTP/1.0" 200 456 "-" "-"
stefan-jaindl.com:80 158.69.64.72 - - [29/Dec/2020:08:40:57 +0100] "GET / HTTP/1.0" 200 256 "-" "python-requests/2.18.4"
stefan-jaindl.com:80 213.225.7.154 - - [29/Dec/2020:09:11:55 +0100] "GET / HTTP/1.0" 200 256 "-" "Mozilla/5.0 (Linux; Android 10; HD1913) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
stefan-jaindl.com:80 213.225.7.154 - - [29/Dec/2020:09:11:56 +0100] "GET /favicon.ico HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Linux; Android 10; HD1913) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
stefan-jaindl.com:80 3.138.200.31 - - [29/Dec/2020:09:44:01 +0100] "GET / HTTP/1.0" 200 256 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
stefan-jaindl.com:80 3.138.200.31 - - [29/Dec/2020:09:44:06 +0100] "GET /favicon.ico HTTP/1.0" 404 1352 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:09:57:17 +0100] "GET / HTTP/1.0" 200 256 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:35 +0100] "GET / HTTP/1.0" 200 81192 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/css/slick.css HTTP/1.0" 200 2079 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /vendor/maximebf/debugbar/src/DebugBar/Resources/debugbar.css HTTP/1.0" 200 10319 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /vendor/maximebf/debugbar/src/DebugBar/Resources/widgets.css HTTP/1.0" 200 7905 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /vendor/maximebf/debugbar/src/DebugBar/Resources/openhandler.css HTTP/1.0" 200 7067 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/js/vendor/modernizr.js HTTP/1.0" 200 11582 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/css/custom.css HTTP/1.0" 200 15776 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/css/mdb.min.css HTTP/1.0" 200 234254 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/bootstrap-4.2.1/css/bootstrap.css HTTP/1.0" 200 189304 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/css/slick-theme.css HTTP/1.0" 200 3849 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/plugins/markdown-notices/assets/notices.css HTTP/1.0" 200 787 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /system/assets/debugger.css HTTP/1.0" 200 1871 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/plugins/breadcrumbs/css/breadcrumbs.css HTTP/1.0" 200 596 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/plugins/login/css/login.css HTTP/1.0" 200 1814 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/plugins/pagination/css/pagination.css HTTP/1.0" 200 555 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/css/foundation.css HTTP/1.0" 200 200714 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/css/normalize.css HTTP/1.0" 200 8011 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/themes/magnet-theme/icons/foundation-icons.css HTTP/1.0" 200 19812 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:43 +0100] "GET /user/plugins/simplesearch/css/simplesearch.css HTTP/1.0" 200 811 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/css/pizza.css HTTP/1.0" 200 1408 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/css/animate.css HTTP/1.0" 200 71113 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /jquery-mosaic/jquery.mosaic.css?v=8 HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /jquery-mosaic/jquery.mosaic.js?v=8 HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/plugins/form/assets/form-styles.css HTTP/1.0" 200 19263 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /system/assets/jquery/jquery-2.x.min.js HTTP/1.0" 200 85897 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /vendor/maximebf/debugbar/src/DebugBar/Resources/debugbar.js HTTP/1.0" 200 38376 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /vendor/maximebf/debugbar/src/DebugBar/Resources/widgets.js HTTP/1.0" 200 21533 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /vendor/maximebf/debugbar/src/DebugBar/Resources/openhandler.js HTTP/1.0" 200 7575 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/css/app.css HTTP/1.0" 200 5588 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/js/slick.js HTTP/1.0" 200 89275 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/bootstrap-4.2.1/js/bootstrap.bundle.js HTTP/1.0" 200 217430 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /jquery-mosaic/jquery.mosaic.css?v=8 HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /jquery-mosaic/jquery.mosaic.js?v=8 HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/plugins/simplesearch/js/simplesearch.js HTTP/1.0" 200 1593 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/js/foundation.min.js HTTP/1.0" 200 106464 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/js/pizza.js HTTP/1.0" 200 28549 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/js/vendor/snap.svg.js HTTP/1.0" 200 266368 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
